arm,metric,count,n,proportion,ci_low,ci_high
gemini,precision (F0),18,54,0.3333333333333333,0.22241416537492567,0.46639036398870637
gemini,"under-action rate (F5, F8)",0,54,0.0,0.0,0.06641358809089641
gemini,"dangerous-action rate (F4, F7)",7,54,0.12962962962962962,0.06423720747326257,0.2442173022236977
gemini,model contract failure rate,0,54,0.0,0.0,0.06641358809089641
gemini,strict JSON conformance rate,54,54,1.0,0.9335864119091035,1.0
gemini,lenient repair rate,0,54,0.0,0.0,0.06641358809089641
claude,precision (F0),15,54,0.2777777777777778,0.17616827653022366,0.4089044292879525
claude,"under-action rate (F5, F8)",0,54,0.0,0.0,0.06641358809089641
claude,"dangerous-action rate (F4, F7)",2,54,0.037037037037037035,0.010216367948445576,0.12535176917275478
claude,model contract failure rate,0,54,0.0,0.0,0.06641358809089641
claude,strict JSON conformance rate,54,54,1.0,0.9335864119091035,1.0
claude,lenient repair rate,0,54,0.0,0.0,0.06641358809089641
baseline,precision (F0),3,18,0.16666666666666666,0.05836576805861449,0.3922203810391574
baseline,"under-action rate (F5, F8)",3,18,0.16666666666666666,0.05836576805861449,0.3922203810391574
baseline,"dangerous-action rate (F4, F7)",11,18,0.6111111111111112,0.386190416022379,0.7969475342783638
baseline,model contract failure rate,0,18,0.0,1.3877787807814457e-17,0.1758792236466577
baseline,strict JSON conformance rate,18,18,1.0,0.8241207763533424,1.0
baseline,lenient repair rate,0,18,0.0,1.3877787807814457e-17,0.1758792236466577
all arms,precision (F0),36,126,0.2857142857142857,0.21409189470651618,0.3700162900715687
all arms,"under-action rate (F5, F8)",3,126,0.023809523809523808,0.008129952024257234,0.06766601414926511
all arms,"dangerous-action rate (F4, F7)",20,126,0.15873015873015872,0.10516625713947376,0.23248751861821726
all arms,model contract failure rate,0,126,0.0,0.0,0.029585764482198466
all arms,strict JSON conformance rate,126,126,1.0,0.9704142355178014,0.9999999999999998
all arms,lenient repair rate,0,126,0.0,0.0,0.029585764482198466
