arm,sood_category,codes,count,n,percent
gemini,Factual,"F1, F2",0,54,0.0
gemini,Attributional,F3,0,54,0.0
gemini,Logical,"F4, F7",7,54,12.962962962962964
gemini,Contextual,"F5, F6",3,54,5.555555555555555
gemini,Ambiguous,F8,0,54,0.0
gemini,Consistency,F9,26,54,48.148148148148145
gemini,None,F0,18,54,33.333333333333336
claude,Factual,"F1, F2",37,54,68.51851851851852
claude,Attributional,F3,0,54,0.0
claude,Logical,"F4, F7",2,54,3.7037037037037037
claude,Contextual,"F5, F6",0,54,0.0
claude,Ambiguous,F8,0,54,0.0
claude,Consistency,F9,0,54,0.0
claude,None,F0,15,54,27.77777777777778
baseline,Factual,"F1, F2",0,18,0.0
baseline,Attributional,F3,0,18,0.0
baseline,Logical,"F4, F7",11,18,61.111111111111114
baseline,Contextual,"F5, F6",4,18,22.22222222222222
baseline,Ambiguous,F8,0,18,0.0
baseline,Consistency,F9,0,18,0.0
baseline,None,F0,3,18,16.666666666666668
