# RELIABILITY SUBSAMPLE DRAW. Experimenter only: this file names the arm. Do not send it to a rater.
subsample_index,artefact_id,full_set_display_index,arm,scenario_class,alert_id,rule_id,stratum,seed
1,7e5ed8a6-4819-4254-b637-44ec5e4eb45c,101,claude,S3,ALRT-0010,PG-TAMP-004,claude|S3,20260912
2,bc9d9ece-0e70-4fc9-90d1-4201deb9a199,98,claude,S1,ALRT-0001,PG-EXF-001,claude|S1,20260912
3,3dd655a8-4c38-4633-8809-eb93871efc5f,22,gemini,B1,ALRT-0007,PG-PRIV-003,gemini|B1,20260912
4,95b0a396-2e06-4d4b-a086-efaa2d5a28bb,74,claude,B1,ALRT-0007,PG-PRIV-003,claude|B1,20260912
5,6b837543-a81a-4735-8d30-f4da009860a4,61,claude,S1,ALRT-0005,PG-EXF-002,claude|S1,20260912
6,284e4e20-d666-483f-a18a-a1c0f936ceaf,70,claude,S1,ALRT-0011,PG-EXF-002,claude|S1,20260912
7,d700bc37-98e3-4a3f-a561-eccce2c4a1ff,52,gemini,S2,ALRT-0012,PG-PRIV-003,gemini|S2,20260912
8,70c4c4be-4c65-4956-b049-cf24eeef409f,125,claude,S3,ALRT-0014,PG-TAMP-003,claude|S3,20260912
9,77c10171-4ce7-4ac0-a4ba-d987fa1e1857,40,gemini,S2,ALRT-0004,PG-PRIV-001,gemini|S2,20260912
10,4e224fb9-6d99-4890-9f75-acc9e8972f0c,109,baseline,S2,ALRT-0004,PG-PRIV-001,baseline|S2,20260912
11,2e57eb7d-c1a8-4eff-8c88-9bbf92d007c0,36,claude,B1,ALRT-0013,PG-EXF-001,claude|B1,20260912
12,17cb3bc5-2391-40b7-a07e-9136ea21eed2,51,baseline,S3,ALRT-0016,PG-TAMP-002,baseline|S3,20260912
13,11ce3b02-a10d-401a-b97a-efbf0cc0c24c,14,baseline,B1,ALRT-0003,PG-EXF-002,baseline|B1,20260912
14,83b1f1e6-2651-47e3-8598-c292cb49cbb9,86,gemini,S1,ALRT-0011,PG-EXF-002,gemini|S1,20260912
15,09c5a726-1b70-460c-a388-a18ef10c2264,76,gemini,S3,ALRT-0008,PG-ANTIF-001,gemini|S3,20260912
16,04583cbe-0c38-4cd3-9b92-0bcd2b26b0b3,30,baseline,S2,ALRT-0012,PG-PRIV-003,baseline|S2,20260912
17,fa86e834-ad11-4557-a237-4048cca944f9,11,claude,B1,ALRT-0007,PG-PRIV-003,claude|B1,20260912
18,b1f1357a-0165-409a-8c72-f6566c71a438,10,baseline,B1,ALRT-0017,PG-TAMP-001,baseline|B1,20260912
19,54c63b18-cfa7-489c-9aa0-60f61ab10fd5,44,claude,B1,ALRT-0006,PG-PRIV-001,claude|B1,20260912
20,f79aacc4-b6ec-46bd-a5b2-2ed05ce35309,53,baseline,S1,ALRT-0015,PG-EXF-003,baseline|S1,20260912
21,95e19231-cd81-4bf9-958b-27e35ec18629,110,claude,S3,ALRT-0014,PG-TAMP-003,claude|S3,20260912
22,fff50f89-acea-44da-b661-7a6cac01dc6c,23,claude,S1,ALRT-0015,PG-EXF-003,claude|S1,20260912
23,f5e951c6-0e45-4fc3-92c4-889c2dbf9e58,37,gemini,S2,ALRT-0009,PG-PRIV-002,gemini|S2,20260912
24,bc31bf2d-1e2c-4162-a3a9-dce2e2068e72,68,gemini,S3,ALRT-0010,PG-TAMP-004,gemini|S3,20260912
25,055ea5c0-bb45-4c72-b314-6150f1146163,123,gemini,S3,ALRT-0016,PG-TAMP-002,gemini|S3,20260912
26,d53804cd-fe53-474e-a58f-014e83e02b27,7,gemini,S1,ALRT-0005,PG-EXF-002,gemini|S1,20260912
27,b7eb7ffd-d137-45a6-8ac1-b9c737caa1ba,39,baseline,S1,ALRT-0011,PG-EXF-002,baseline|S1,20260912
28,61dfd7d8-46b7-4ec2-8535-3dc278ab3878,91,baseline,B1,ALRT-0006,PG-PRIV-001,baseline|B1,20260912
29,541a226c-7b57-4fef-bbc0-6054be9ea7b3,46,claude,S2,ALRT-0004,PG-PRIV-001,claude|S2,20260912
30,f7b38d73-14a5-48a5-af7d-cd8a59da2ab8,42,gemini,B1,ALRT-0013,PG-EXF-001,gemini|B1,20260912
31,ac300ca6-a6eb-479b-a99c-9b79e9a8e0c8,92,gemini,B1,ALRT-0007,PG-PRIV-003,gemini|B1,20260912
32,881dadeb-8835-41bb-8683-d4d442c32200,8,gemini,B1,ALRT-0017,PG-TAMP-001,gemini|B1,20260912
33,67504e44-0705-4961-8d9b-6ffed526dde1,89,claude,S2,ALRT-0018,PG-PRIV-003,claude|S2,20260912
34,cb39d7c2-5bd9-4337-8fcb-23125a2159e8,15,gemini,S3,ALRT-0008,PG-ANTIF-001,gemini|S3,20260912
35,ac520310-8fac-410d-8873-e632cc9c5e27,88,gemini,S1,ALRT-0015,PG-EXF-003,gemini|S1,20260912
36,ed09ee43-2450-4408-b0f5-b79b3106797e,45,claude,S2,ALRT-0018,PG-PRIV-003,claude|S2,20260912
37,8e1befcc-82d3-41ac-ae50-f2836d94c5c8,119,claude,S3,ALRT-0014,PG-TAMP-003,claude|S3,20260912
38,91c74110-6852-4d4b-b158-d287aae9f9d7,99,gemini,B1,ALRT-0002,PG-EXF-003,gemini|B1,20260912
39,0aef7ce5-a0cc-410f-b16f-091cf3faf863,83,baseline,S2,ALRT-0009,PG-PRIV-002,baseline|S2,20260912
40,24367550-ee55-4249-9456-08854fa867ea,94,baseline,B1,ALRT-0007,PG-PRIV-003,baseline|B1,20260912
